dataset	method	from	to	weight	from_name	to_name	asso_est	asso_type	edge_betw	name_from_sorted	name_to_sorted	edge_name
ST110_FMBN_ps	ccrepe	6	10	0.46810210752922443	Lactobacillus complex	Leuconostoc	0.43416926397029443	copres	2.7499999999999996	Lactobacillus complex	Leuconostoc	Lactobacillus complex--Leuconostoc
ST110_FMBN_ps	ccrepe	8	10	0.18139826327942066	Lactococcus	Leuconostoc	-0.3402176067238973	mut_ex	4.866666666666666	Lactococcus	Leuconostoc	Lactococcus--Leuconostoc
ST110_FMBN_ps	ccrepe	4	11	0.17104983274682395	Escherichia/Shigella	Macrococcus	-0.3743167595781369	mut_ex	6.083333333333333	Escherichia/Shigella	Macrococcus	Escherichia/Shigella--Macrococcus
ST110_FMBN_ps	ccrepe	7	11	0.13585866996216756	Lactobacillus	Macrococcus	-0.493480476559108	mut_ex	2.333333333333333	Lactobacillus	Macrococcus	Lactobacillus--Macrococcus
ST110_FMBN_ps	ccrepe	8	11	0.4635282148833624	Lactococcus	Macrococcus	0.42439604754753646	copres	4.366666666666666	Lactococcus	Macrococcus	Lactococcus--Macrococcus
ST110_FMBN_ps	ccrepe	1	12	0.49935022919744954	Acinetobacter	Staphylococcus	0.49869961399070734	copres	13	Acinetobacter	Staphylococcus	Acinetobacter--Staphylococcus
ST110_FMBN_ps	ccrepe	8	12	0.4408437350951109	Lactococcus	Staphylococcus	0.3746885428352269	copres	14.333333333333332	Lactococcus	Staphylococcus	Lactococcus--Staphylococcus
ST110_FMBN_ps	ccrepe	8	13	0.08927721689014567	Lactococcus	Streptococcus	-0.6588319753507176	mut_ex	2.033333333333333	Lactococcus	Streptococcus	Lactococcus--Streptococcus
ST110_FMBN_ps	ccrepe	10	13	0.16434816587186973	Leuconostoc	Streptococcus	-0.3966279757634161	mut_ex	4.833333333333333	Leuconostoc	Streptococcus	Leuconostoc--Streptococcus
ST110_FMBN_ps	ccrepe	11	13	0.07216875322255267	Macrococcus	Streptococcus	-0.7217416449931846	mut_ex	4.666666666666666	Macrococcus	Streptococcus	Macrococcus--Streptococcus
ST110_FMBN_ps	ccrepe	12	13	0.17503921700695124	Staphylococcus	Streptococcus	-0.36112058695300797	mut_ex	9.666666666666666	Staphylococcus	Streptococcus	Staphylococcus--Streptococcus
ST110_FMBN_ps	ccrepe	2	14	0.1899203638467727	Enterobacter	Weissella	-0.3124580338202905	mut_ex	7.166666666666667	Enterobacter	Weissella	Enterobacter--Weissella
ST110_FMBN_ps	ccrepe	5	14	0.6019635909938709	Lactiplantibacillus	Weissella	0.6831340342110109	copres	6.416666666666666	Lactiplantibacillus	Weissella	Lactiplantibacillus--Weissella
ST110_FMBN_ps	ccrepe	6	14	0.41988863244564156	Lactobacillus complex	Weissella	0.32694160246842413	copres	4.033333333333333	Lactobacillus complex	Weissella	Lactobacillus complex--Weissella
ST110_FMBN_ps	ccrepe	7	14	0.18202764825713502	Lactobacillus	Weissella	-0.33815753643150653	mut_ex	7.2	Lactobacillus	Weissella	Lactobacillus--Weissella
ST110_FMBN_ps	ccrepe	9	14	0.4594812628180427	Latilactobacillus	Weissella	0.41567898951044424	copres	9	Latilactobacillus	Weissella	Latilactobacillus--Weissella
ST110_FMBN_ps	ccrepe	10	14	0.6278718190782309	Leuconostoc	Weissella	0.7230412339277101	copres	2.3666666666666667	Leuconostoc	Weissella	Leuconostoc--Weissella
ST110_FMBN_ps	ccrepe	11	14	0.490792730519245	Macrococcus	Weissella	0.4814159134159075	copres	5.45	Macrococcus	Weissella	Macrococcus--Weissella
ST110_FMBN_ps	ccrepe	13	14	0.13695280729931425	Streptococcus	Weissella	-0.4897009136570693	mut_ex	8.2	Streptococcus	Weissella	Streptococcus--Weissella
ST115_FMBN_ps	spieceasi	6	8	0.2928932188134523	Secundilactobacillus	Streptococcus	-3.3306690738754696e-16	mut_ex	1	Secundilactobacillus	Streptococcus	Secundilactobacillus--Streptococcus
ST115_FMBN_ps	sparcc	1	2	0.43732673759456187	Lactobacillus complex	Lactobacillus	0.3667975995480419	copres	1.5	Lactobacillus	Lactobacillus complex	Lactobacillus--Lactobacillus complex
ST115_FMBN_ps	sparcc	1	4	0.6170240699835655	Lactobacillus complex	Loigolactobacillus	0.7066588740560942	copres	1.5	Lactobacillus complex	Loigolactobacillus	Lactobacillus complex--Loigolactobacillus
ST115_FMBN_ps	sparcc	3	4	0.8492290373491499	Lactococcus	Loigolactobacillus	0.9545362336426719	copres	1.5	Lactococcus	Loigolactobacillus	Lactococcus--Loigolactobacillus
ST115_FMBN_ps	sparcc	1	5	1	Lactobacillus complex	Paucilactobacillus	1	copres	1	Lactobacillus complex	Paucilactobacillus	Lactobacillus complex--Paucilactobacillus
ST115_FMBN_ps	sparcc	2	5	1	Lactobacillus	Paucilactobacillus	1	copres	1.5	Lactobacillus	Paucilactobacillus	Lactobacillus--Paucilactobacillus
ST115_FMBN_ps	sparcc	4	5	0.6976663839423108	Loigolactobacillus	Paucilactobacillus	0.8171887692029636	copres	1.5	Loigolactobacillus	Paucilactobacillus	Loigolactobacillus--Paucilactobacillus
